source_id,claim,source_title,publisher,url,pub_date,accessed
SRC-01,"Систему запустили попри відомі дефекти та відсутність критичної функціональності","Building and implementing the Phoenix pay system : independent auditor's report","Office of the Auditor General of Canada","https://publications.gc.ca/site/eng/9.855364/publication.html",2018-05-29,2026-09-10
SRC-02,"Запуск системи призвів до масштабних збоїв у виплатах заробітної плати понад 150 тисячам працівників","Clearing Phoenix pay backlog could take up to 5 years","CBC News","https://www.cbc.ca/news/canada/ottawa/phoenix-backlog-fix-years-1.5029526",2019-02-25,2026-09-10
SRC-03,"Проєкт не мав незалежного нагляду, а культура менеджменту блокувала передачу негативних новин","The Phoenix pay problem: working toward a solution","Senate of Canada","https://sencanada.ca/en/newsroom/nffn-phoenix-pay-problem/",2018-07-31,2026-09-10
SRC-04,"Хронологія та загальний контекст впровадження системи Phoenix","Phoenix pay system","Wikipedia","https://en.wikipedia.org/wiki/Phoenix_pay_system",2026-01-15,2026-09-10
